HANDLE,REF,PLTG,OWNR,MP,ADRES,LOC,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
191,,0637,WMU,,Wellington Builders,,,dL 26,,,,,,,18 10,,,,16 2,,,,,,,JNTTRANS
192,,0633,WMU,,,,,dL 26 11,,27,,,,,20 1,,,,16 10,,,,,,,JNTTRANS
193,,0631,WMU,,,,,sec dL 23 6,,,,,,,20 6,18 2,,,16 11,,,,,,plank w,JNTPL
194,,0628,WMU,,se crnr kelly and rt 18,,,sec 27 11,,,27 4,,,,21 6,,,,25 6 attaches continues on 20 2,20 2,19,,,,plank e,JNTPL
196,,0622,WMU,,204 w herrick av,,sec 23 7,sec dL 21 3,,,,,,,21 1,,,,20 2,19 1,17 7,,,,,JNTPL
197,,0620,WMU,,w of union st,,,sec 24 8,,dL 22 10,19 10,,,,19 2,,18 8,,,17 8,16 11,,,,,JNTPL
198,,0621,WMU,,208 w herrick,,,sec 23 2,,22 6,,,,,20 9,,19 11,,,19 6,18 7,,,,,JNTTRANS
200,,0618,WMU,,312 w herrick,,,sec 24,,23 6,,,,,20 1,,19 1,,9 1,18 2,17 8,,,,,JNTPL
201,,0619,WMU,,306 w herrick,,,dL 23 3,,,,,,,19 11,19 1,,,18 4,17 8,17,,,,,JNTTRANS
203,,0612,WMU,,408 w herrick,,,dL 22 10,,24 9,,,19 6,,18 8,,,,17 11,17 5,,,,,,JNTTRANS
204,,0612,WMU,,404 w herrick,w of middle st,,sec 22 7,,,,,19 1,,18 4,,,,17 5,16 11,,,,,,JNTPL
205,,0613,WMU,,,e of middle st,,sec 24 10,,24 3,,,20 7,,19 11,,,,18 4,,,,,,,JNTTRANS
206,,0598,WMU,,422 w herrick,e of west st,,sec 25 6,,24 8,,,22 6,,21 5,,,,20 10,,,,,,,JNTPL
207,,0611,WMU,,418 w herrick,,,dL 24 7,,24 7,,,18 8,,18 2,,,,16 9,,,,,,,JNTTRANS
209,,1118,WMU,,608  w herrick,,,dL 24 9,,25 4,21 2,,,,19 7,,,,18 8,,,,,,,JNTTRANS
210,,1116,WMU,,,,,sec 23 9,,23 3,20 6,,,,19 2,,,,18 5,,,,,,,JNTPL
211,,0607,WMU,,602,w of n mill st,,sec 29 2,,dL27 9,23 7,,,,22 1,,,,20 8 ext arm,,,,,,,JNTPL
212,,0609,WMU,,516 w herrick,e of n mill st,,sec 24 8,,25 4,,,19 8,,22 1,,,,18 6,,,,,,,JNTPL
213,,0610,WMU,,510 w herrick,,,dL 22 1,,23 9,,,,,19 3,,,,18 2,,,,,,,JNTTRANS
214,,1127,WMU,,634 w herrick,,,sec 25,,23 11,21 1,,,,20,,,,18 11,,,,,,,JNTPL
215,,NT,WMU,,630 w herrick,,,dL  25,,23 10,22 2,,,,20 8,,,,19 9,,,,,,,JNTTRANS
216,,1120,WMU,,622 w herrick,,,sec 24 3,,22 5,21 2,,,,20 1,,,,19,15 11,19 6,,,,,JNTPL
217,,1129,WMU,,,,,sec 23,,24 2,21 4,,,,19 9,,,,19,,,,,,plank w,JNTPL
218,,1128,WMU,,,,,dL 25 4,,24 1,23 4,,,,22 7,,,,21 10,,,,,,,JNTTRANS
219,,1133,WMU,,,,,sec 22 3,,22 3,21 6,,,,21 1,,,,19 5,,,,,,,JNTPL
220,,1201,WMU,,,,,sec 20 11,,,,,,,19 2,,,,18 1,,,,,,plank e,JNTPL
221,,1223,WMU,,,,,sec dL 25,,,,,,,18 7,,17 8,,,,,,,,,JNTPL
222,,1224,WMU,,46760,,,sec 21 8,,,,,,,18 11,,17 10,,,,,,,,,JNTTRANS
223,,1225,WMU,,46760,,,sec 27 7,,,,,,,21 1,,20 2,,,,,,,,,JNTPL
225,,1230,WMU,,46850,,,dL 23 9,,,,,,,20 8,,19 9,,,,,,,,,JNTTRANS
226,,1229,WMU,,,,,neu 34 1,,,,,,,26 11,,25 10,,,,,,,,,JNTPL
227,,1231,WMU,,e of rr,,,sec 25 6,,,,,,,23 8,,23 1,,,,,,,,,JNTPL
228,,1232,WMU,,w of rr,,,sec 27 4,,,,,,,23,,22 5,,,,,,,,,JNTPL
229,,1233,WMU,,e of rr,,,sec 26,,,,,,,21 6,,20 11,,,,,,,,,JNTPL
230,,1234,WMU,,w of rr,46950,,sec 26 5,,,,,,,22 4,,21 9,,,,,,,,,JNTPL
231,,1235,WMU,,,46950,,neu 25 6,,23 6,,,22 7 ext arm,,22 8,,,,,,,,,,bsh,JNTPL
232,,1242,WMU,,,,,neu 28 10,,,,,21,17 6 p to p,,,,,,,,,,,,JNTPL
233,,1243,WMU,,,,,neu 24 11,,,,,20 6,,,,,,,,,,,,,JNTPL
234,,1244,WMU,,,,,neu 29 4,,,,,20 9,,,,,,,,,,,,,JNTPL
235,,1245,WMU,,46980,,,neu 28 4,,,,,20 5,,,,,,22 4 cross rd,,,,,,,JNTPL
237,,1246,WMU,,,,,neu 25 9,,,,,21 1,,,,,,,,,,,,,JNTPL
238,,1247,WMU,,,,,neu 25 11,,,,,20 11,,,,,,,,,,,,,JNTPL
239,,1248,WMU,,47140,,neu 27,dL 21 10,,,,,19 11,,,,,,21 11,,,,,,,JNTTRANS
240,,1251,WMU,,47140,,,neu 28 3,,,,,18 7,,,,,,19 4,,,,,,,JNTPL
