HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'770,,"pl ht 28' 9""",,,,,,,27 6,,,,22 3,,,,,,riser down pole,TELCOPL
'78C,,pp 32 9,,,,,,,24 10,,,,22 1,,,,,,riser up pole,JNTPL
'7C4,n 25 6,tdl 24 7,,,,,,,21 6,,,,20 4,,,,,,,JNTTRANS
'7E0,n 26 8,p riser 27 1,,,,,,,22 3,,,,17 11,,,,,,,JNTPL
'7FC,,n 26 9,,,,,,,23 1,,,,21 6,,,,,,,JNTPL
'818,,n 25 3,,,,,,,22 3,,,,16 11,,,,,,,JNTPL
'834,tdl 25 3,n 25 3,,,,,,,22 1,,,,20,,,,,,ank e,JNTTRANS
'86C,n 25 9,tdl 24 5,,,,,,,22 3,,,,,,,,,,ank w,JNTTRANS
'888,n 25 9,tdl 24 2,,,,,,,22 3,,,,,,,,,,,JNTTRANS
'8A4,,n \ sec 30 3,,,,,,,20 11,,,,20,,,,,,,JNTPL
'8DC,,n 29 10,,,,,,,20 8,,,,19 6,,,,,,,JNTPL
'8F8,,n 29 8,,dl 24 2,,,,,21,,,,20 1,,,,,,,JNTPL
'930,,n 32 6,,,,,,,22 7,,,,21 8,,,,,,,JNTPL
'968,n 31 2,p riser 29 8,p riser 30 9,,,,,,23 5,,,,22 4,,,,,,,JNTPL
'984,n 28 5,tdl 26 2,,,,,,,23 3,,,,22 3,,,,,,ank w,JNTTRANS
'9A0,,n 25 7,,,,,,,20 10,,,,19 11,,,,,,,JNTPL
'9D8,,n 27 4,,,,,,,20 7,,,,19 3,,,,,,ank e,JNTPL
'9F4,,n 26 5,,,,,,,20 8,,,,19 8,,,,,,ank w,JNTTRANS
'A10,n 26,tdl 23 9,,,,,,,21 1,,,,20,,,,,,,JNTTRANS
'A48,n 25 7,tdl 24 8,,,,,,,21 8,,,,20 9,,,,,,,JNTTRANS
'A64,,n 26 2,,,,,,,21,,,,19 11,,,,,,,JNTPL
'AB8,,n 24 7,,,,,,,19 9,,,,18 7,,,,,,,JNTPL
'AD4,n 26 9,tdl 24 9,,,,,,,22,,,,21,,,,,,,JNTTRANS
'AF0,n 27 8,tdl 26 4,,,,,,,20 9,,,,19 5,,,,,,,JNTTRANS
